id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
9697,0.298124,75000000.0,42285169.0,Lady in the Water,110,2006-07-21,187,5.2,2006,81125186.87186791,45738563.1604469
9766,0.282881,30000000.0,41480851.0,Gridiron Gang,125,2006-09-15,123,6.5,2006,32450074.7487471,44868557.186388105
18925,0.206454,100000.0,10178331.0,Facing the Giants,111,2006-09-29,41,6.8,2006,108166.91582915699,11009586.725583
8618,0.326984,4000000.0,13401952.0,The History Boys,109,2006-10-02,27,5.6,2006,4326676.63316629,14496478.139304
16727,0.254596,12000000.0,20138836.0,The Namesake,122,2006-09-02,23,7.0,2006,12980029.8994988,21783557.785092
1781,0.251388,1000000.0,46243000.0,An Inconvenient Truth,100,2006-01-24,130,6.5,2006,1081669.15829157,50019626.8868772
9809,0.24994899999999998,4000000.0,4630045.0,Let's Go to Prison,84,2006-11-17,36,5.4,2006,4326676.63316629,5008176.8780021
11798,0.225633,2380000.0,8176544.0,This Is England,101,2006-09-12,187,7.1,2006,2574372.59673394,8844315.46621401
9842,0.5339659999999989,20000000.0,17807569.0,School for Scoundrels,100,2006-09-29,53,5.5,2006,21633383.1658314,19261898.171449102
13275,0.209369,26000000.0,17496992.0,Annapolis,108,2006-01-27,56,5.8,2006,28123398.115580797,18925956.6092743
2016,0.20754,14500000.0,22963701.0,Indig̬nes,128,2006-05-25,52,6.7,2006,15684202.795227801,24839127.1319293
14012,0.200545,15000000.0,21000000.0,Flicka,95,2006-10-20,37,6.1,2006,16225037.3743735,22715052.324123003
10069,0.189838,9000000.0,27105095.0,Stay Alive,100,2006-03-24,83,5.3,2006,9735022.42462415,29318745.294063102
10093,0.188603,15000000.0,11992014.0,The Return,85,2006-11-10,20,5.2,2006,16225037.3743735,12971391.689600699
14064,0.187319,2000000.0,300000.0,Ten Canoes,90,2006-06-29,12,5.9,2006,2163338.31658314,324500.74748747103
36668,0.157586,210000000.0,234360014.0,X-Men: The Last Stand,104,2006-05-24,2381,6.2,2006,227150523.24122998,253499999.080581
